country,confirmed,death,recovered,active,population
Finland,16400,359,11300,4741,5520314
France,1460745,37485,123664,1299237,67059887
Gabon,8984,55,8779,150,2172579
Gambia,3672,119,3196,357,2347706
Georgia,42579,342,26800,15437,3720382
Germany,569598,10669,372499,186430,83132799
Ghana,48200,320,47260,620,30417856
Greece,42080,642,23074,18364,10716322
Grenada,29,0,27,2,112003
Guatemala,108104,3738,97756,6610,16604026
Guinea,12213,73,10600,1540,12771246
Guinea-Bissau,2413,41,1818,554,1920922
Guyana,4238,128,3264,846,782766
Haiti,9057,232,7429,1396,11263077
Honduras,98405,2688,41116,54601,9746117
Hungary,82780,1889,20476,60415,9769949
Iceland,4931,12,4010,909,361313
India,8267623,123097,7603121,541405,1366417754
Indonesia,415402,14044,345566,55792,270625568
Iran,628780,35738,491247,101795,82913906
Iraq,478701,11017,405777,61907,39309783
Ireland,62750,1917,23364,37469,4941444
Israel,315636,2580,303405,9651,9053300
Italy,731588,39059,296017,396512,60297396
Jamaica,9257,210,4637,4410,2948279
Japan,102431,1787,92673,7971,126264931
Jordan,81743,913,7858,72972,10101694
Kazakhstan,113309,1857,106716,4736,18513930
Kenya,56601,1027,37442,18132,52573973
"Korea, South",26807,472,24510,1825,51709098
Kuwait,127293,786,118386,8121,4207083
Kyrgyzstan,59879,1155,50741,7983,6456900
Lao PDR,24,0,23,1,7169455
Latvia,6268,77,1406,4785,1912789
Lebanon,83697,652,43885,39160,6855713
Lesotho,1961,44,988,929,2125268
Liberia,1436,82,1283,71,4937374
Libya,62907,880,36608,25419,6777452
Liechtenstein,598,3,355,240,38019
Lithuania,16556,170,4891,11495,2786844
Luxembourg,19101,160,10717,8224,619896
Madagascar,17111,244,16409,458,26969307
Malawi,5933,184,5323,426,18628747
Malaysia,33339,251,23120,9968,31949777
Maldives,11737,38,10916,783,530953
Mali,3573,136,2769,668,19658031
Malta,6400,66,4397,1937,502653
Marshall Islands,2,0,0,2,58791
Mauritania,7704,163,7437,104,4525696
Mauritius,451,10,413,28,1265711
Mexico,933155,92100,795356,45699,127575529
Moldova,76777,1818,56875,18084,2657637
Monaco,375,2,281,92,38964
Mongolia,350,0,313,37,3225167
Montenegro,19210,320,14456,4434,622137
Morocco,225070,3826,187101,34143,36471769
Mozambique,13130,94,10439,2597,30366036
Namibia,13012,133,11201,1678,2494530
Nepal,176500,984,137992,37524,28608710
Netherlands,374663,7527,5934,361202,17332850
New Zealand,1968,25,1868,75,4917000
Nicaragua,5514,156,4225,1133,6545502
Niger,1222,69,1141,12,23310715
Nigeria,63036,1147,59328,2561,200963599
North Macedonia,32997,1025,21244,10728,2083459
Norway,21339,282,11863,9194,5347896
Oman,116152,1256,106195,8701,4974986
Pakistan,336260,6849,315446,13965,216565318
Panama,134915,2720,112565,19630,4246439
Papua New Guinea,590,7,575,8,8776109
Paraguay,64156,1429,44006,18721,7044636
Peru,902503,34476,830612,37415,32510453
Philippines,385400,7269,348830,29301,108116615
Poland,395480,5875,154413,235192,37970874
Portugal,146847,2590,83294,60963,10269417
Qatar,132917,232,129996,2689,2832067
Romania,250704,7153,177361,66190,19356544
Russia,1642665,28264,1228921,385480,144373535
Rwanda,5155,35,4922,198,12626950
